127.0.0.1 - - [22/May/2019:09:38:04 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [22/May/2019:09:38:07 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:38:08 +0900] "GET /project_calculator/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:38:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:21 +0900] "GET /project_calculator/cal.html HTTP/1.1" 200 8923
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:22 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:22 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:22 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:22 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:22 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:23 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:23 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:23 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:23 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:23 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:23 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:24 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:24 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:24 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:34 +0900] "GET /project_calculator/cal.html HTTP/1.1" 200 8923
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:34 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:34 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:34 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:35 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:35 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:35 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/May/2019:09:39:35 +0900] "GET /project_calculator/cal.html HTTP/1.1" 304 -
